CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,23-04-2020,11319.8086,5368.7876,722.5721,1014.9805,4039.9651
AN,24-04-2020,11399.6387,5382.4697,726.0006,1022.5334,4196.834
AN,25-04-2020,11470.8301,5380.27,730.3315,1025.8485,4346.6631
AN,26-04-2020,11536.1758,5366.0869,734.9452,1026.1305,4486.9243
AN,27-04-2020,11596.8135,5343.8032,739.6094,1024.3146,4616.6294
AN,28-04-2020,11653.5215,5316.0557,744.191,1021.0292,4735.4492
AN,29-04-2020,11706.8496,5284.6543,748.6164,1016.7092,4843.4771
AR,23-04-2020,4764.8667,2410.6111,248.8473,629.1885,1518.8669
AR,24-04-2020,4799.7725,2446.1062,247.5707,636.1962,1577.0796
AR,25-04-2020,4826.6812,2482.4121,246.5334,639.5784,1629.7194
AR,26-04-2020,4848.7896,2518.865,245.6704,640.7196,1678.2018
AR,27-04-2020,4867.5283,2555.0708,244.9419,640.337,1722.9275
AR,28-04-2020,4883.7944,2590.7656,244.3209,638.9157,1764.0898
AR,29-04-2020,4898.1714,2625.7673,243.7881,636.7858,1801.8237
AS,23-04-2020,2319.8833,1815.5894,125.4864,233.5255,637.6685
AS,24-04-2020,2334.5061,1850.2158,126.4885,239.7681,648.3879
AS,25-04-2020,2350.5579,1887.9412,127.255,245.8371,656.7866
AS,26-04-2020,2367.0337,1925.5327,127.8573,251.6257,663.6628
AS,27-04-2020,2383.4558,1961.7682,128.3381,257.0465,669.452
AS,28-04-2020,2399.5217,1996.0551,128.7262,262.0602,674.4319
AS,29-04-2020,2415.0464,2028.1217,129.0423,266.6559,678.7926
IB,23-04-2020,1757.1954,1003.4608,163.7933,177.89,1058.5916
IB,24-04-2020,1772.8774,1017.974,165.3781,182.3616,1067.3313
IB,25-04-2020,1783.1405,1030.0076,166.6122,186.7107,1075.8105
IB,26-04-2020,1789.3008,1040.6005,167.639,190.8294,1083.874
IB,27-04-2020,1792.5709,1050.1886,168.5184,194.681,1091.4363
IB,28-04-2020,1793.7692,1059.021,169.2914,198.2481,1098.4696
IB,29-04-2020,1793.4559,1067.2438,169.985,201.5267,1104.9796
CN,23-04-2020,2135.0559,778.0399,153.899,114.5043,1143.3168
CN,24-04-2020,2146.8975,776.256,154.4051,115.1568,1185.3403
CN,25-04-2020,2159.1443,771.1134,153.8197,115.1406,1231.1213
CN,26-04-2020,2171.4084,763.5593,152.6364,114.7045,1275.6116
CN,27-04-2020,2183.5144,754.3878,151.0764,114.0131,1316.7408
CN,28-04-2020,2195.3525,744.1731,149.2876,113.1603,1353.6156
CN,29-04-2020,2206.8572,733.3245,147.3675,112.2032,1385.9779
CB,23-04-2020,1973.5211,907.3867,82.6382,179.4768,978.66522
CB,24-04-2020,1984.5111,910.2073,82.8725,183.869,1013.655
CB,25-04-2020,1989.0833,909.4703,83.3464,188.1217,1041.9799
CB,26-04-2020,1989.8019,906.1699,83.9349,192.1787,1063.4623
CB,27-04-2020,1987.8333,901.1307,84.5749,196.0118,1079.4468
CB,28-04-2020,1983.9749,894.8959,85.2341,199.6067,1091.2584
CB,29-04-2020,1978.7855,887.8395,85.8945,202.9581,1100.0125
CM,23-04-2020,16072.9873,9721.2998,578.9229,2255.9548,4977.291
CM,24-04-2020,16081.2051,9917.39453,588.857,2304.9934,5131.7671
CM,25-04-2020,16137.6973,10140.7529,598.87,2353.6091,5291.5562
CM,26-04-2020,16214.9883,10377.5352,608.8507,2400.9795,5443.4404
CM,27-04-2020,16301.624,10614.4893,618.6415,2446.6904,5584.8252
CM,28-04-2020,16391.0391,10844.4209,628.1547,2490.4868,5714.5132
CM,29-04-2020,16479.502,11063.3936,637.3385,2532.2156,5832.1792
CL,23-04-2020,14563.3564,7190.8267,488.0696,1584.6979,6136.8267
CL,24-04-2020,14524.5918,7278.3735,506.6811,1604.9723,6273.3696
CL,25-04-2020,14431.0586,7343.103,521.4116,1623.5314,6418.2817
CL,26-04-2020,14293.8184,7393.1035,534.1307,1640.605,6562.1089
CL,27-04-2020,14125.8418,7432.3423,545.6187,1656.3978,6701.1616
CL,28-04-2020,13936.0557,7463.6064,556.2523,1671.0601,6833.4053
CL,29-04-2020,13730.8701,7488.8008,566.2142,1684.7047,6957.7114
CT,23-04-2020,41893.0391,23107.4316,2450.1702,4474.0083,16465.4121
CT,24-04-2020,42450.207,23321.1816,2467.8401,4568.5889,16890.6992
CT,25-04-2020,42827.6719,23491.7695,2482.5266,4660.1001,17311.4336
CT,26-04-2020,43084.0898,23631.1816,2494.6177,4747.9863,17712.4004
CT,27-04-2020,43253.125,23747.2676,2504.8062,4831.9893,18087.248
CT,28-04-2020,43358.6016,23845.7402,2513.5537,4911.9502,18433.3555
CT,29-04-2020,43417.4023,23930.5371,2521.1851,4987.7944,18750.0078
CE,23-04-2020,101.2098,8.1488,3.4783,3.9568,112.3353
CE,24-04-2020,101.2147,8.0864,3.4493,3.9283,114.7531
CE,25-04-2020,101.2614,7.9686,3.3887,3.9018,117.1215
CE,26-04-2020,101.316,7.8242,3.309,3.8765,118.7946
CE,27-04-2020,101.3692,7.6654,3.218,3.8522,119.9289
CE,28-04-2020,101.4166,7.4995,3.1209,3.8285,120.6974
CE,29-04-2020,101.4566,7.3308,3.0209,3.8054,121.2239
VC,23-04-2020,9974.56543,4977.7812,649.2659,1119.6855,5836.9072
VC,24-04-2020,10004.748,5023.5288,652.0303,1130.8745,6059.1616
VC,25-04-2020,10034.7939,5064.5601,654.0356,1140.0646,6279.7549
VC,26-04-2020,10062.8691,5101.7886,655.5444,1147.7715,6489.9951
VC,27-04-2020,10088.5537,5135.8833,656.7061,1154.3065,6686.0093
VC,28-04-2020,10111.75,5167.3125,657.617,1159.8884,6865.8901
VC,29-04-2020,10132.5361,5196.4185,658.3419,1164.681,7029.04
EX,23-04-2020,2506.7754,1397.3911,111.3559,403.3647,1228.1975
EX,24-04-2020,2487.4243,1413.1602,111.2456,407.4182,1298.7584
EX,25-04-2020,2458.8284,1428.8448,111.3904,410.7147,1364.1567
EX,26-04-2020,2423.9053,1444.1282,111.6589,413.5318,1421.8568
EX,27-04-2020,2384.9465,1458.8938,111.9886,415.9952,1471.4221
EX,28-04-2020,2343.5925,1473.0851,112.3456,418.1892,1513.1104
EX,29-04-2020,2301.0442,1486.6826,112.711,420.1702,1547.6476
GA,23-04-2020,8394.7559,2615.5371,93.3988,386.1366,1818.3689
GA,24-04-2020,8443.127,2624.04,90.6382,393.2139,1857.3956
GA,25-04-2020,8473.3027,2628.0344,88.32,400.0448,1898.5483
GA,26-04-2020,8491.5908,2628.2156,86.3668,406.5934,1938.543
GA,27-04-2020,8502.1201,2625.8381,84.731,412.8216,1976.4912
GA,28-04-2020,8507.6084,2621.7195,83.3799,418.7122,2011.9254
GA,29-04-2020,8509.8213,2616.4133,82.2883,424.2594,2044.6481
MD,23-04-2020,61340.3242,7123.0908,1040.6797,7668.125,35018.5938
MD,24-04-2020,61818.1797,6933.4497,1027.4294,7749.8252,35654.3789
MD,25-04-2020,62320.2578,6785.2656,1018.0693,7821.6631,36290.2188
MD,26-04-2020,62821.5312,6673.6094,1011.8187,7885.9253,36917.1406
MD,27-04-2020,63309.8164,6594.9111,1008.0197,7944.0244,37526.4766
MD,28-04-2020,63778.9453,6546.5513,1006.1844,7996.9453,38112.7227
MD,29-04-2020,64225.9141,6526.3042,1005.9376,8045.4053,38672.4844
ML,23-04-2020,105.3217,43.6247,2.9297,1.82,61.8077
ML,24-04-2020,105.364,43.6046,2.9232,1.8077,66.0082
ML,25-04-2020,105.3679,43.56,2.9137,1.7852,69.7624
ML,26-04-2020,105.3479,43.4986,2.9024,1.7574,72.9806
ML,27-04-2020,105.3091,43.4269,2.8905,1.727,75.6544
ML,28-04-2020,105.256,43.3491,2.8783,1.6956,77.828
ML,29-04-2020,105.1922,43.2679,2.8664,1.6644,79.5705
MC,23-04-2020,1415.1586,592.4415,105.5263,123.5214,949.27472
MC,24-04-2020,1414.4536,592.879,106.1547,124.6572,990.65594
MC,25-04-2020,1411.083,591.2525,106.7238,125.6353,1028.8018
MC,26-04-2020,1406.2272,588.4794,107.2462,126.5051,1063.2699
MC,27-04-2020,1400.5068,584.9767,107.7268,127.288,1093.125
MC,28-04-2020,1394.3074,581.0199,108.1693,127.9991,1118.2867
MC,29-04-2020,1387.8772,576.7913,108.5771,128.6497,1139.1403
NC,23-04-2020,4613.3721,1863.6876,122.0397,456.6607,1638.3834
NC,24-04-2020,4633.9648,1872.8265,122.1194,476.9691,1720.7262
NC,25-04-2020,4653.542,1879.0232,121.6924,496.8738,1796.9568
NC,26-04-2020,4671.835,1882.8224,121.0275,516.105,1862.3751
NC,27-04-2020,4688.6816,1884.9065,120.2395,534.2504,1916.0061
NC,28-04-2020,4704.0503,1885.7271,119.3916,551.0322,1958.6617
NC,29-04-2020,4717.9814,1885.5964,118.5192,566.2941,1991.9481
PV,23-04-2020,12428.3799,6224.0791,503.8829,1192.9565,8402.1572
PV,24-04-2020,12533.7686,6253.9258,505.7917,1218.3706,8690.3643
PV,25-04-2020,12645.4082,6277.7642,507.035,1242.8301,8970.1543
PV,26-04-2020,12757.9287,6297.2046,507.7726,1266.3069,9237.4707
PV,27-04-2020,12868.6758,6313.2949,508.1564,1288.7844,9489.6279
PV,28-04-2020,12976.1729,6326.7393,508.2905,1310.2578,9724.9033
PV,29-04-2020,13079.6445,6338.0322,508.2471,1330.73,9942.3877
RI,23-04-2020,3989.2903,1334.3982,76.8648,323.5945,1956.6304
RI,24-04-2020,4012.5803,1344.3423,76.9518,329.6561,1984.3097
RI,25-04-2020,4052.0039,1353.3438,76.746,335.9563,2009.446
RI,26-04-2020,4095.417,1361.526,76.3717,342.2658,2032.5431
RI,27-04-2020,4140.0337,1368.9846,75.8856,348.3623,2053.9832
RI,28-04-2020,4184.2456,1375.7985,75.3275,354.1372,2074.0298
RI,29-04-2020,4227.2041,1382.0352,74.7245,359.541,2092.8748
